Date,yhat,yhat_lower,yhat_upper
2024-05-27,7733.417222980324,7417.810449503781,8020.711409276974
2024-05-28,7778.980756853613,7474.897630278921,8059.311257136856
2024-05-29,7790.400823783857,7478.704443317406,8079.347376172621
2024-05-30,7756.718339874971,7465.2180347092035,8033.496262282484
2024-06-02,7549.790860377336,7247.475138344925,7822.478654914506
2024-06-03,7578.710195837898,7290.242005296057,7858.651868105552
2024-06-04,7607.082887088486,7309.680272885543,7901.021432749111
2024-06-05,7603.0231372931075,7327.331235459635,7882.600224601021
2024-06-06,7555.275688718896,7266.532059177736,7873.261155574195
2024-06-09,7311.4087766352095,7021.543791011432,7608.836268802531
2024-06-10,7328.641892529782,7041.368983752279,7614.253749376302
2024-06-11,7377.57170228849,7077.639055377559,7661.945619100425
2024-06-12,7393.4946727879105,7113.272616592298,7682.386750076561
2024-06-13,7364.848561356071,7066.762013945597,7650.811378920142
2024-06-16,7170.311818083295,6886.101896959033,7480.561348428494
2024-06-17,7200.597593235514,6891.818845377316,7516.287042847518
2024-06-18,7260.613289497519,6953.359463080437,7540.524711999744
2024-06-19,7285.555457318387,7016.463830291734,7589.866019332717
2024-06-20,7263.806141451381,6969.947934474779,7548.763676502259
2024-06-23,7077.331402875874,6784.550737638268,7341.75899681708
2024-06-24,7106.342553356375,6816.015045521637,7390.822102584886
2024-06-25,7163.323794087537,6900.054884204254,7478.298656445923
2024-06-26,7183.655289273483,6882.614040770216,7470.500063480834
2024-06-27,7155.9303147382525,6874.838392990308,7469.242458949778
2024-06-30,6945.751730613948,6633.956658917743,7229.942008244871
2024-07-01,6965.799716157571,6672.471628143993,7264.019120804081
2024-07-02,7013.727335830956,6709.248951485937,7278.665221518905
2024-07-04,6988.970185007376,6690.121231359861,7302.761305796031
2024-07-07,6757.97066048413,6457.392577003509,7054.153305867835
2024-07-08,6773.201911801423,6483.457310403646,7054.913730473913
2024-07-09,6817.593294992406,6499.210327289135,7109.844884805513
2024-07-10,6826.863695889684,6526.712991207036,7132.807828732807
2024-07-11,6789.897919081437,6499.896105020989,7076.037259908117
2024-07-14,6565.030709774441,6272.744179618292,6868.536493484009
2024-07-15,6584.944625224785,6292.239389829975,6872.569079723044
2024-07-16,6635.182124138992,6356.95609124134,6921.978185236288
2024-07-17,6651.332857265935,6346.925275624522,6946.971991029751
2024-07-21,6424.22845581119,6140.491833459901,6699.7199720086455
2024-07-22,6453.767979600835,6153.253116121784,6727.7084592977
2024-07-23,6513.6607242359605,6216.199093420202,6812.419410849872
2024-07-24,6539.332408050028,6250.92438134465,6838.461693758228
2024-07-25,6519.3682148981525,6232.643221375969,6826.016695920855
2024-07-28,6346.17179102867,6061.5574702074455,6635.404593657917
2024-07-29,6383.069768670591,6106.110542336094,6690.338272808021
2024-07-30,6449.547424392279,6139.8338748858705,6758.81237426643
2024-07-31,6480.998026540013,6191.716757706078,6769.698887791264
2024-08-01,6465.996513341855,6168.8420010265845,6778.5756588636805
2024-08-04,6302.99712940967,6017.53093244141,6602.688871235281
2024-08-05,6341.440942954054,6071.692183427468,6619.471886588998
2024-08-06,6408.878733328722,6132.647875552609,6718.323181495211
2024-08-07,6440.7902037419635,6147.072084765609,6753.556301024379
2024-08-08,6425.843606976756,6125.186117018904,6727.618271382778
2024-08-11,6261.547025110909,5969.484519277166,6557.140727158584
2024-08-12,6299.389475093201,5998.227356965843,6600.498977287601
2024-08-13,6366.288601642011,6081.027499848122,6652.2839594056895
2024-08-14,6397.80073996072,6123.791223571358,6672.501183407091
2024-08-15,6382.660687388681,6096.765076900305,6670.898156230341
2024-08-18,6219.51306197344,5922.430103529419,6533.051701315561
2024-08-19,6258.419784564095,5977.7082173404915,6539.38841536021
2024-08-20,6326.746873696004,6028.888724750235,6612.533868910093
2024-08-21,6360.048225620091,6064.496195691641,6650.013511602973
2024-08-22,6347.046840530266,6050.72097244857,6645.725433308969
2024-08-27,6306.184459964774,6027.022539201186,6616.63897593604
2024-08-28,6343.136827109653,6038.924270074064,6661.86920358711
2024-08-29,6333.917917455344,6036.054652525122,6643.956921162785
2024-09-02,6237.083213530526,5971.383239995548,6513.545541627388
2024-09-03,6312.91118542869,6016.677104699062,6602.258539715764
2024-09-04,6353.866275549517,6064.215890754782,6648.861014656005
2024-09-05,6348.62380913799,6045.241929059549,6629.665443534093
2024-09-08,6217.2489242998345,5938.477947038602,6496.017236192918
2024-09-09,6267.213576657406,5977.400648428381,6556.962315840912
2024-09-10,6346.7157975972095,6071.304813584191,6649.077603981266
2024-09-11,6391.238036706483,6090.000845402618,6674.9817973785275
2024-09-12,6389.430275100491,6108.866412521755,6685.231913432968
2024-09-13,6584.680020512007,6279.270905668907,6882.283164384377
2024-09-15,6267.2145370620865,5987.526148926279,6552.873479569023
2024-09-16,6319.6985176925255,6025.49380137206,6601.848880345741
2024-09-17,6401.359562980105,6095.289715174636,6684.812597862571
2024-09-18,6447.61441512432,6167.883665631518,6732.519544957049
2024-09-19,6447.042404776485,6145.463994363393,6735.305271443697
2024-09-22,6336.032642952023,6065.328668851184,6650.054333593999
2024-09-23,6390.760962253018,6126.890119976023,6686.970492513853
2024-09-24,6473.805259824899,6170.656781306567,6801.204906095806
2024-09-25,6520.523423118228,6231.103352468486,6815.090566204381
2024-09-26,6519.446614666822,6219.998067271207,6835.146472780818
2024-09-29,6389.618106521721,6103.268328655773,6683.037983728518
2024-09-30,6436.044399671858,6123.730327552395,6734.4295235855625
2024-10-01,6509.819838433074,6227.560076358141,6788.188509980917
2024-10-02,6546.363050698806,6248.798218208217,6829.403002066899
2024-10-03,6534.288045637087,6241.277397190143,6826.843497220453
2024-10-07,6401.058955952192,6104.929049923339,6696.645415108677
2024-10-08,6461.683136372377,6188.592309827727,6750.026653993263
2024-10-09,6485.155250739636,6195.917874203254,6797.0660064489175
2024-10-10,6460.28555063519,6140.348883295025,6721.312580998926
2024-10-13,6258.939013018146,5972.10159487638,6543.465059312293
2024-10-14,6282.6036160023095,5978.399425324708,6586.422518022171
2024-10-15,6334.733516618942,6017.897457128951,6628.93171127894
2024-10-16,6351.087685778991,6059.486014378395,6633.650454840909
2024-10-17,6320.605849833307,6005.380263275958,6629.701563581715
2024-10-20,6112.34771318247,5802.051375815545,6391.571733361891
2024-10-21,6137.161102286461,5836.089961269187,6439.331591399299
2024-10-22,6192.156888680683,5892.123881866586,6495.181540542333
2024-10-23,6213.038742292101,5914.923295760536,6516.226716244443
2024-10-27,6006.8392574943355,5720.01815101655,6316.736194844771
2024-10-28,6042.614780491307,5746.329921732106,6342.779699141624
2024-10-29,6109.319137590139,5829.845210307081,6378.122634306967
2024-10-30,6142.4408992951085,5868.309258791044,6436.831343950275
2024-10-31,6130.612729372045,5844.471097467547,6454.045516164336
2024-11-03,5986.177546066491,5698.706993718837,6292.785853679451
2024-11-04,6033.668734567848,5733.547662710573,6324.9136250771935
2024-11-05,6111.435830488773,5822.271674120359,6402.93371126762
2024-11-06,6154.837997635198,5867.762913345013,6456.633669692422
2024-11-07,6152.409616762451,5869.202647576761,6451.00990538417
2024-11-11,6083.508853077237,5786.889875205934,6388.231242060361
2024-11-12,6166.024682248382,5856.187968039718,6453.3869712065425
2024-11-13,6213.4423844063585,5916.077789775743,6515.72674720416
2024-11-14,6214.435633459752,5901.692780940982,6523.466697560491
2024-11-17,6100.874557950794,5813.821342764148,6399.974706643759
2024-11-18,6158.7602537938765,5856.626640911153,6474.406632086964
2024-11-19,6246.425115180509,5967.443758903964,6545.666243912313
2024-11-20,6299.530245365794,6010.118844978782,6576.017966671192
2024-11-21,6306.924861630927,5977.8647420996,6595.6559124963815
